Id,plant_nr,plant_id,branch_nr,branch_id,n_flowers_with_fruits,n_flowers_without_fruits,comment
59,1,59_1,3,59_1_3,16,46,
59,1,59_1,4,59_1_4,20,49,
59,1,59_1,5,59_1_5,7,36,
59,2,59_2,1,59_2_1,41,55,
59,2,59_2,2,59_2_2,46,63,
59,2,59_2,3,59_2_3,34,84,
59,2,59_2,4,59_2_4,63,77,
59,2,59_2,5,59_2_5,36,30,
59,2,59_2,6,59_2_6,72,53,
59,3,59_3,1,59_3_1,28,44,
59,3,59_3,2,59_3_2,35,58,
59,3,59_3,3,59_3_3,28,54,
59,3,59_3,4,59_3_4,26,52,
59,3,59_3,5,59_3_5,49,67,
59,4,59_4,1,59_4_1,24,40,
59,4,59_4,2,59_4_2,24,60,
59,4,59_4,3,59_4_3,38,54,
59,4,59_4,4,59_4_4,45,73,
59,4,59_4,5,59_4_5,16,23,
59,4,59_4,6,59_4_6,32,52,
59,5,59_5,1,59_5_1,25,57,
59,5,59_5,2,59_5_2,33,56,
59,5,59_5,3,59_5_3,35,34,
59,5,59_5,4,59_5_4,17,16,
59,5,59_5,5,59_5_5,19,17,
59,5,59_5,6,59_5_6,28,49,
59,6,59_6,1,59_6_1,47,79,small pot (1.5L)
59,6,59_6,2,59_6_2,42,83,small pot (1.5L)
59,6,59_6,3,59_6_3,26,43,small pot (1.5L)
59,6,59_6,4,59_6_4,48,54,small pot (1.5L)
59,6,59_6,5,59_6_5,31,57,small pot (1.5L)
71,1,71_1,1,71_1_1,29,126,
71,1,71_1,2,71_1_2,31,126,
71,1,71_1,3,71_1_3,13,74,
