Id,plant_nr,plant_id,fruit_nr,fruit_id,n_seeds,excluded,comment
7,6,7_6,13,7_6_13,4,0,
7,6,7_6,14,7_6_14,6,0,
7,6,7_6,15,7_6_15,4,0,
7,6,7_6,16,7_6_16,2,0,
7,6,7_6,17,7_6_17,3,0,
7,6,7_6,18,7_6_18,5,0,
7,6,7_6,19,7_6_19,4,0,
7,6,7_6,20,7_6_20,2,0,
7,6,7_6,21,7_6_21,2,0,
7,6,7_6,22,7_6_22,4,0,
7,6,7_6,23,7_6_23,5,0,
7,6,7_6,24,7_6_24,5,0,
7,6,7_6,25,7_6_25,4,0,
7,6,7_6,26,7_6_26,2,0,
7,6,7_6,27,7_6_27,4,0,
7,6,7_6,28,7_6_28,2,0,
7,6,7_6,29,7_6_29,4,0,
7,6,7_6,30,7_6_30,5,0,
7,6,7_6,31,7_6_31,2,0,
7,6,7_6,32,7_6_32,4,0,
7,6,7_6,33,7_6_33,6,0,
7,6,7_6,34,7_6_34,3,0,
7,6,7_6,35,7_6_35,1,0,
7,6,7_6,36,7_6_36,2,0,
7,6,7_6,37,7_6_37,2,0,
7,6,7_6,38,7_6_38,6,0,
7,6,7_6,39,7_6_39,5,0,
7,6,7_6,40,7_6_40,6,0,
7,6,7_6,41,7_6_41,5,0,
7,6,7_6,42,7_6_42,5,0,
7,6,7_6,43,7_6_43,6,0,
7,6,7_6,44,7_6_44,4,0,
7,6,7_6,45,7_6_45,4,0,
7,6,7_6,46,7_6_46,3,0,
7,6,7_6,47,7_6_47,5,0,
7,6,7_6,48,7_6_48,3,0,
7,6,7_6,49,7_6_49,2,0,
7,6,7_6,50,7_6_50,2,0,
8,1,8_1,1,8_1_1,6,0,
8,1,8_1,2,8_1_2,3,0,
8,1,8_1,3,8_1_3,8,0,
8,1,8_1,4,8_1_4,6,0,
8,1,8_1,5,8_1_5,6,0,
8,1,8_1,6,8_1_6,5,0,
8,1,8_1,7,8_1_7,4,0,
8,1,8_1,8,8_1_8,4,0,
8,1,8_1,9,8_1_9,5,0,
8,1,8_1,10,8_1_10,5,0,
8,1,8_1,11,8_1_11,5,0,
8,1,8_1,12,8_1_12,6,0,
